id_anuncio,id_host,nombre_host,cantidad_anuncios_host,cantidad_total_anuncios_host,barrio,latitud,longitud,tipo_alojamiento,capacidad,precio,noches_minimas,noches_maximas,puntuacion_general,puntuacion_ubicacion,puntuacion_valor,licencia,last_scraped,precio_por_persona,tipo_host,tipo_licencia
22306310,8101364,Emilio Natali,2,2,el Guinardó,41.41777,2.16902,Entire home/apt,6,135.0,1,1125,4.07,4.11,3.98,HUTB-012920,2025-09-14,22.5,professional,Licensed
22313479,750385,Casa Consell,3,3,la Dreta de l'Eixample,41.39216,2.16729,Entire home/apt,12,753.0,1,365,4.68,4.94,4.59,HUTB-007994,2025-09-15,62.75,professional,Licensed
22330913,163267919,Leyla,1,1,el Fort Pienc,41.39814,2.18078,Entire home/apt,4,160.0,2,1125,4.54,4.8,4.42,HUTB-001712,2025-09-15,40.0,individual,Licensed
22342208,5264883,Unique,47,92,Sant Gervasi - la Bonanova,41.404797,2.139914,Entire home/apt,6,95.0,32,365,4.14,4.71,4.0,Exempt,2025-09-14,15.83,professional,Exempt
22353005,6482644,Eloy,4,5,la Dreta de l'Eixample,41.396,2.16563,Entire home/apt,5,293.0,3,20,5.0,4.94,4.92,ESFCTU00000805400014338200000000000000000HUTB-0782487,2025-09-15,58.6,professional,Licensed
22367248,342801269,Destination BCN - Rooms,7,7,la Dreta de l'Eixample,41.38649,2.16556,Hotel room,2,181.0,2,30,4.9,4.97,4.79,HB-004344,2025-09-15,90.5,professional,Licensed
22374774,342801269,Destination BCN - Rooms,7,7,la Dreta de l'Eixample,41.38649,2.16556,Hotel room,1,113.0,2,30,4.81,4.91,4.59,HB-004344,2025-09-15,113.0,professional,Licensed
22375401,342801269,Destination BCN - Rooms,7,7,la Dreta de l'Eixample,41.38649,2.16556,Hotel room,1,171.0,2,30,4.93,4.88,4.68,HB-004344,2025-09-15,171.0,professional,Licensed
22375564,342801269,Destination BCN - Rooms,7,7,la Dreta de l'Eixample,41.38649,2.16556,Hotel room,2,181.0,2,30,4.9,4.97,4.82,HB-004344,2025-09-15,90.5,professional,Licensed
22375775,342801269,Destination BCN - Rooms,7,7,la Dreta de l'Eixample,41.38649,2.16556,Hotel room,1,102.0,2,30,4.85,4.95,4.59,HB-004344,2025-09-15,102.0,professional,Licensed
22383717,147236328,Diana,1,3,el Clot,41.40787,2.18902,Private room,2,60.0,2,1125,,,,,2025-09-14,30.0,professional,No license
22395831,160554212,Barcelona,7,12,la Dreta de l'Eixample,41.39604,2.175,Entire home/apt,4,240.0,1,1125,4.51,4.78,4.27,HUTB-010501,2025-09-15,60.0,professional,Licensed
22396050,160554212,Barcelona,7,12,la Dreta de l'Eixample,41.39597,2.17512,Entire home/apt,4,216.0,1,1125,4.51,4.8,4.27,HUTB-010508,2025-09-15,54.0,professional,Licensed
22396061,160554212,Barcelona,7,12,la Dreta de l'Eixample,41.39556,2.17501,Entire home/apt,4,258.0,1,1125,4.45,4.65,4.34,HUTB-010506,2025-09-15,64.5,professional,Licensed
22409838,164049819,Luis Fernando,1,1,el Raval,41.3758,2.17091,Private room,2,81.0,5,1125,4.95,4.88,4.9,,2025-09-15,40.5,individual,No license
22441576,164407823,Barbara,1,2,el Raval,41.38096,2.1698,Private room,4,201.0,3,62,4.95,4.93,4.84,Exempt,2025-09-15,50.25,professional,Exempt
22453174,164530410,Jose Manuel,2,2,el Poble Sec,41.37235,2.16806,Entire home/apt,5,121.0,4,1125,4.51,4.65,4.31,HUTB-004025,2025-09-15,24.2,professional,Licensed
22458687,69815537,Fortuny,4,12,el Raval,41.38268,2.17096,Entire home/apt,2,130.0,31,365,4.85,4.82,4.79,Exempt,2025-09-15,65.0,professional,Exempt
